date,trade_date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side,full_date
8/25,2026-08-25,0056,摩根大通,8440,0,1577,-1577,7.66,2,sell,2026-08-25
8/25,2026-08-25,0056,富邦證券,9600,236,11,225,1.09,3,buy,2026-08-25
8/25,2026-08-25,0056,統一,5850,31,1211,-1180,5.74,3,sell,2026-08-25
8/25,2026-08-25,0056,中國信託,6160,614,399,215,1.04,4,buy,2026-08-25
8/25,2026-08-25,0056,永豐金證券,0039004100300030,270,1332,-1062,5.16,4,sell,2026-08-25
8/25,2026-08-25,0056,國票-和平,003700370039006a,181,0,181,0.88,5,buy,2026-08-25
8/25,2026-08-25,0056,元大-花蓮,9856,20,650,-630,3.06,5,sell,2026-08-25
8/25,2026-08-25,0056,國泰-板橋,003800380038004b,200,23,177,0.86,6,buy,2026-08-25
8/25,2026-08-25,0056,凱基,9200,98,400,-302,1.47,6,sell,2026-08-25
8/25,2026-08-25,0056,群益金鼎,9100,195,22,173,0.84,7,buy,2026-08-25
8/25,2026-08-25,0056,富邦-青埔,003900360031004e,13,228,-215,1.04,7,sell,2026-08-25
8/25,2026-08-25,0056,凱基-文心,9297,172,0,172,0.84,8,buy,2026-08-25
8/25,2026-08-25,0056,華南永昌-台中,9302,13,110,-97,0.47,8,sell,2026-08-25
8/25,2026-08-25,0056,群益金鼎-海山,9108,122,1,121,0.59,9,buy,2026-08-25
8/25,2026-08-25,0056,富邦-中壢,9636,42,121,-79,0.38,9,sell,2026-08-25
8/25,2026-08-25,0056,兆豐-三重,7008,135,24,111,0.54,10,buy,2026-08-25
8/25,2026-08-25,0056,中國信託-新竹,6165,46,119,-73,0.35,10,sell,2026-08-25
8/25,2026-08-25,0056,富邦-新店,9661,132,23,109,0.53,11,buy,2026-08-25
8/25,2026-08-25,0056,第一金-新興,0035003300380041,17,90,-73,0.35,11,sell,2026-08-25
8/25,2026-08-25,0056,富邦-羅東,9634,107,10,97,0.47,12,buy,2026-08-25
8/25,2026-08-25,0056,元大-內湖民權,9867,9,75,-66,0.32,12,sell,2026-08-25
8/25,2026-08-25,0056,國泰-敦南,8888,673,577,96,0.47,13,buy,2026-08-25
8/25,2026-08-25,0056,第一金-台南,5384,17,78,-61,0.3,13,sell,2026-08-25
8/25,2026-08-25,0056,永豐金-南投,003900410039004d,89,0,89,0.43,14,buy,2026-08-25
8/25,2026-08-25,0056,元大-景美,0039003800340048,7,68,-61,0.3,14,sell,2026-08-25
8/25,2026-08-25,0056,國票-九鼎,0037003700390050,101,12,89,0.43,15,buy,2026-08-25
8/25,2026-08-25,0056,新加坡商瑞銀,1650,1487,1542,-55,0.27,15,sell,2026-08-25
8/25,2026-08-25,0057,國泰-敦南,8888,3,0,3,13.04,1,buy,2026-08-25
8/25,2026-08-25,0057,永豐金證券,0039004100300030,0,9,-9,39.13,1,sell,2026-08-25
8/25,2026-08-25,0057,富邦-建國,9658,2,0,2,8.7,2,buy,2026-08-25
8/25,2026-08-25,0057,元大證券,9800,0,2,-2,8.7,2,sell,2026-08-25
8/25,2026-08-25,0057,國泰-板橋,003800380038004b,2,0,2,8.7,3,buy,2026-08-25
8/25,2026-08-25,0057,元大-台南,9896,0,2,-2,8.7,3,sell,2026-08-25
8/25,2026-08-25,0057,群益金鼎-鳳山,0039003100380063,1,0,1,4.35,4,buy,2026-08-25
8/25,2026-08-25,0057,康和-板橋,0038003400350044,0,2,-2,8.7,4,sell,2026-08-25
8/25,2026-08-25,0057,群益金鼎-屏東,0039003100330048,2,1,1,4.35,5,buy,2026-08-25
8/25,2026-08-25,0057,富邦證券,9600,0,1,-1,4.35,5,sell,2026-08-25
8/25,2026-08-25,0057,口袋證券,6620,0,0,0,0.0,6,buy,2026-08-25
8/25,2026-08-25,0057,凱基-桃園,9208,0,0,0,0.0,6,sell,2026-08-25
8/25,2026-08-25,0057,國泰-台中,8882,0,0,0,0.0,7,buy,2026-08-25
8/25,2026-08-25,0057,元大-桃園,0039003800380042,0,0,0,0.0,7,sell,2026-08-25
8/25,2026-08-25,0057,國泰-台南,8884,4,4,0,0.0,8,buy,2026-08-25
8/25,2026-08-25,0057,凱基-彰化,0039003200300047,0,0,0,0.0,8,sell,2026-08-25
8/25,2026-08-25,0057,富邦-板橋,9655,0,0,0,0.0,9,buy,2026-08-25
8/25,2026-08-25,0057,永豐金-彰化,0039004100390073,0,0,0,0.0,9,sell,2026-08-25
8/25,2026-08-25,0057,國泰-桃園,8885,0,0,0,0.0,10,buy,2026-08-25
8/25,2026-08-25,0057,元大-蘆洲,9857,0,0,0,0.0,10,sell,2026-08-25
8/25,2026-08-25,0057,國泰-館前,0038003800380041,0,0,0,0.0,11,buy,2026-08-25
8/25,2026-08-25,0057,群益金鼎-彰化,9187,0,0,0,0.0,11,sell,2026-08-25
8/25,2026-08-25,0057,元大-員林中山,9835,0,0,0,0.0,12,buy,2026-08-25
8/25,2026-08-25,0057,元大-蘆洲中正,0039003800390049,0,0,0,0.0,12,sell,2026-08-25
8/25,2026-08-25,0057,國泰-高雄,8881,0,0,0,0.0,13,buy,2026-08-25
8/25,2026-08-25,0057,永豐金-中正,0039004100390055,0,0,0,0.0,13,sell,2026-08-25
8/25,2026-08-25,0057,新光-桃園,8565,0,0,0,0.0,14,buy,2026-08-25
8/25,2026-08-25,0057,(牛牛牛)亞-網路,6012,0,0,0,0.0,14,sell,2026-08-25
8/25,2026-08-25,0057,凱基-和平,9255,0,0,0,0.0,15,buy,2026-08-25
8/25,2026-08-25,0057,富邦-宜蘭,9686,0,0,0,0.0,15,sell,2026-08-25
8/25,2026-08-25,0061,元大證券,9800,42,16,26,35.14,1,buy,2026-08-25
8/25,2026-08-25,0061,群益金鼎-民權,9131,0,30,-30,40.54,1,sell,2026-08-25
8/25,2026-08-25,0061,群益金鼎-永和,003900310038004a,11,0,11,14.86,2,buy,2026-08-25
8/25,2026-08-25,0061,國泰-桃園,8885,0,10,-10,13.51,2,sell,2026-08-25
8/25,2026-08-25,0061,國泰證券,8880,5,0,5,6.76,3,buy,2026-08-25
8/25,2026-08-25,0061,元大-景美,0039003800340048,0,7,-7,9.46,3,sell,2026-08-25
8/25,2026-08-25,0061,新光,8560,2,0,2,2.7,4,buy,2026-08-25
8/25,2026-08-25,0061,玉山-信義,0038003800340043,1,6,-5,6.76,4,sell,2026-08-25
8/25,2026-08-25,0061,群益金鼎-中山,0039003100380048,2,0,2,2.7,5,buy,2026-08-25
8/25,2026-08-25,0061,兆豐-寶成,0037003000300072,0,1,-1,1.35,5,sell,2026-08-25
8/25,2026-08-25,0061,臺銀-民權,1043,2,0,2,2.7,6,buy,2026-08-25
8/25,2026-08-25,0061,凱基-市府,0039003200300044,0,1,-1,1.35,6,sell,2026-08-25
8/25,2026-08-25,0061,富邦證券,9600,1,0,1,1.35,7,buy,2026-08-25
8/25,2026-08-25,0061,康和-板橋,0038003400350044,0,1,-1,1.35,7,sell,2026-08-25
8/25,2026-08-25,0061,群益金鼎-內湖,0039003100380064,1,0,1,1.35,8,buy,2026-08-25
8/25,2026-08-25,0061,富邦-建國,9658,0,0,0,0.0,8,sell,2026-08-25
8/25,2026-08-25,0061,群益金鼎-天母,0039003100380050,1,0,1,1.35,9,buy,2026-08-25
8/25,2026-08-25,0061,群益金鼎-屏東,0039003100330048,0,0,0,0.0,9,sell,2026-08-25
8/25,2026-08-25,0061,元大-新盛,9869,1,0,1,1.35,10,buy,2026-08-25
8/25,2026-08-25,0061,元大-樹林,003900380039006a,0,0,0,0.0,10,sell,2026-08-25
